Id,Label,Type,Latitude_deg,Longitude_deg
ARJ,Arso Airport,small_airport,-2.93333292,140.7833405
BUI,Bokondini Airport,small_airport,-3.6822,138.6755
ZRM,Sarmi Airport,small_airport,-1.86954999,138.75
DJJ,Sentani Airport,medium_airport,-2.576950073,140.5160065
LHI,Lereh Airport,small_airport,-3.0795,139.952
LII,Mulia Airport,small_airport,-3.7018,137.957
OKL,Oksibil Airport,small_airport,-4.9071,140.6277
WAR,Waris Airport,small_airport,-3.235,140.994
SEH,Senggeh Airport,small_airport,-3.45,140.779
UBR,Ubrub Airport,small_airport,-3.67565,140.8838
WMX,Wamena Airport,medium_airport,-4.10251,138.957001
MDP,Mindiptana Airport,small_airport,-5.75,140.3670044
BXD,Bade Airport,small_airport,-7.714630127,139.5749969
MKQ,Mopah Airport,medium_airport,-8.520290375,140.4179993
OKQ,Okaba Airport,small_airport,-8.0946,139.7233
KEI,Kepi Airport,small_airport,-6.5418,139.3318
TMH,Tanah Merah Airport,small_airport,-6.099219799,140.2980042
TJS,Tanjung Harapan Airport,small_airport,2.835833333,117.3736111
DTD,Datadawai Airport,small_airport,0.8106,114.5306
BEJ,Kalimarau Airport,medium_airport,2.1555,117.431999
BPN,Sultan Aji Muhamad Sulaiman Airport,small_airport,-1.268270016,116.8939972
TRK,Juwata Airport,medium_airport,3.326667,117.569444
SRI,Temindung Airport,medium_airport,-0.484530985,117.1569977
TSX,Tanjung Santan Airport,small_airport,-0.092973001,117.4530029
BYQ,Bunyu Airport,small_airport,3.455719948,117.8669968
GLX,Gamarmalamo Airport,small_airport,1.83833003,127.7860031
GTO,Jalaluddin Airport,small_airport,0.637118995,122.8499985
NAH,Naha Airport,medium_airport,3.683209896,125.5279999
TLI,Sultan Bantilan Airport,small_airport,1.123428,120.793658
GEB,Gebe Airport,small_airport,-0.078888997,129.4579926
KAZ,Kao Airport,small_airport,1.185279965,127.8960037
PLW,Mutiara Airport,medium_airport,-0.918542027,119.9100037
MDC,Sam Ratulangi Airport,medium_airport,1.54926002,124.9260025
MNA,Melangguane Airport,small_airport,4.00694,126.672997
PSJ,Kasiguncu Airport,medium_airport,-1.416749954,120.6579971
OTI,Pitu Airport,medium_airport,2.04598999,128.3249969
TTE,Sultan Khairun Babullah Airport,medium_airport,0.831413984,127.3809967
LUW,Syukuran Aminuddin Amir Airport,medium_airport,-1.03892,122.772003
UOL,Buol Airport,small_airport,1.1027,121.4141
WAN,Waverney Airport,small_airport,-25.3563,141.9254
BTW,Batu Licin Airport,small_airport,-3.412410021,115.9950027
PKN,Iskandar Airport,small_airport,-2.705199957,111.6729965
KBU,Gusti Syamsir Alam Airport,small_airport,-3.29472,116.165001
TJG,Warukin Airport,medium_airport,-2.216559887,115.435997
BDJ,Syamsudin Noor Airport,small_airport,-3.442359924,114.7630005
PKY,Tjilik Riwut Airport,small_airport,-2.225130081,113.9430008
SMQ,Sampit(Hasan) Airport,small_airport,-2.499190092,112.9749985
AHI,Amahai Airport,small_airport,-3.34800005,128.9259949
NDA,Bandanaira Airport,small_airport,-4.5214,129.9054
DOB,Rar Gwamar Airport,small_airport,-5.772220135,134.2120056
MAL,"Mangole Airport, Falabisahaya",small_airport,-1.87579,125.8300018
NRE,Namrole Airport,small_airport,-3.8548,126.7012
LAH,"Oesman Sadik Airport, Labuha",small_airport,-0.635258973,127.5019989
SXK,Saumlaki/Olilit Airport,small_airport,-7.988609791,131.3059998
BJK,Nangasuri Airport,small_airport,-6.06619978,134.2740021
LUV,Dumatumbun Airport,medium_airport,-5.66162014,132.7310028
SQN,Emalamo Sanana Airport,small_airport,-2.080509901,125.9670029
AMQ,"Pattimura Airport, Ambon",medium_airport,-3.710259914,128.0890045
NAM,Namlea Airport,small_airport,-3.235569954,127.0999985
TAX,Taliabu Island Airport,small_airport,-1.642629981,124.5589981
WBA,"Wahai,Seram Island",small_airport,-2.8114,129.484
MLG,Abdul Rachman Saleh Airport,small_airport,-7.926559925,112.7149963
CPF,Ngloram Airport,small_airport,-7.194841667,111.5481667
JOG,Adi Sutjipto International Airport,small_airport,-7.788179874,110.4319992
SOC,Adi Sumarmo Wiryokusumo Airport,small_airport,-7.516089916,110.7570038
SUB,Juanda International Airport,large_airport,-7.379829884,112.7870026
SRG,Achmad Yani Airport,small_airport,-6.97273,110.375
SUP,Trunojoyo Airport,small_airport,-7.0242,113.89023
NTI,Stenkol Airport,small_airport,-2.1033,133.5164
RSK,Abresso Airport,small_airport,-1.496771,134.175
KEQ,Kebar Airport,small_airport,-0.637100995,133.128006
FKQ,Fakfak Airport,medium_airport,-2.920190096,132.2669983
INX,Inanwatan Airport,small_airport,-2.128099918,132.1609955
KNG,Kaimana Airport,medium_airport,-3.644520044,133.6959991
RDE,Merdei Airport,small_airport,-1.583330035,133.3329926
BXB,Babo Airport,medium_airport,-2.532239914,133.4389954
MKW,Rendani Airport,medium_airport,-0.891833007,134.048996
TXM,Teminabuan Airport,small_airport,-1.44472003,132.0209961
WSR,Wasior Airport,small_airport,-2.721,134.5061
BJW,Bajawa Soa Airport,small_airport,-8.70743498,121.0574269
MOF,Maumere(Wai Oti) Airport,small_airport,-8.640649796,122.2369995
ENE,Ende (H Hasan Aroeboesman) Airport,small_airport,-8.849289894,121.6610031
RTG,Frans Sales Lega Airport,small_airport,-8.597009659,120.4769974
ARD,Mali Airport,small_airport,-8.132340431,124.5970001
LBJ,Komodo Airport,small_airport,-8.48666,119.889
KOE,El Tari Airport,small_airport,-10.17160034,123.6709976
BUW,Betoambari Airport,small_airport,-5.486879826,122.5690002
MXB,Andi Jemma Airport,small_airport,-2.558039904,120.3239975
SQR,Soroako Airport,small_airport,-2.531199932,121.3580017
TTR,Pongtiku Airport,small_airport,-3.044739962,119.8219986
KDI,Wolter Monginsidi Airport,small_airport,-4.081610203,122.4179993
SOQ,Dominique Edward Osok Airport,large_airport,-0.894,131.287
WBB,Stebbins Airport,small_airport,63.51599884,-162.2779999
WBC,Wapolu Airport,small_airport,-9.3376,150.5093
BTU,Bintulu Airport,medium_airport,3.123850107,113.0199966
BLG,Belaga Airport,small_airport,2.650000095,113.7669983
LSM,Long Semado Airport,small_airport,4.217000008,115.5999985
LGL,Long Lellang Airport,small_airport,3.421000004,115.1539993
KCH,Kuching International Airport,medium_airport,1.484699965,110.3470001
ODN,Long Seridan Airport,small_airport,3.967000008,115.0500031
LMN,Limbang Airport,medium_airport,4.808300018,115.0100021
MKM,Mukah Airport,small_airport,2.90639,112.080002
LKH,Long Akah Airport,small_airport,3.299999952,114.7829971
MUR,Marudi Airport,medium_airport,4.178979874,114.3290024
BSE,Sematan Airport,small_airport,1.813609958,109.7630005
KPI,Kapit Airport,small_airport,2.010523745,112.9314682
BKM,Bakalalan Airport,small_airport,3.973999977,115.6179962
MYY,Miri Airport,medium_airport,4.32201004,113.9869995
SBW,Sibu Airport,medium_airport,2.261600018,111.9850006
TGC,Tanjung Manis Airport,small_airport,2.177839994,111.2020035
LSU,Long Sukang Airport,small_airport,4.552219868,115.4940033
LWY,Lawas Airport,small_airport,4.84917,115.407997
SGG,Simanggang Airport,closed,1.2219,111.4636
BBN,Bario Airport,medium_airport,3.733890057,115.4789963
SMM,Semporna Airport,small_airport,4.449999809,118.5830002
LDU,Lahad Datu Airport,medium_airport,5.032249928,118.3239975
TEL,Telupid Airport,small_airport,5.628610134,117.1259995
KGU,Keningau Airport,small_airport,5.357490063,116.1620026
SXS,Sahabat [Sahabat 16] Airport,small_airport,5.087779999,119.0940018
BKI,Kota Kinabalu International Airport,medium_airport,5.937210083,116.0510025
LBU,Labuan Airport,medium_airport,5.300680161,115.25
TMG,Tomanggong Airport,small_airport,5.40257,118.65763
GSA,Long Pasia Airport,small_airport,4.400000095,115.7170029
SPE,Sepulot Airport,small_airport,4.732999802,116.4670029
PAY,Pamol Airport,small_airport,5.999300003,117.3999176
RNU,Ranau Airport,small_airport,5.949999809,116.6669998
SDK,Sandakan Airport,medium_airport,5.900899887,118.0589981
KUD,Kudat Airport,small_airport,6.922500134,116.8359985
TWU,Tawau Airport,medium_airport,4.320159912,118.1279984
MZV,Mulu Airport,medium_airport,4.04832983,114.8050003
BWN,Brunei International Airport,large_airport,4.944200039,114.9280014
WEA,Parker County Airport,small_airport,32.74629974,-97.68240356
WED,Wedau Airport,small_airport,-10.0954,150.0826
WGU,Wagau Airport,closed,-6.8519,146.8022
WGY,Wagny Airport,closed,-0.6035,12.2608
WHL,Welshpool Airport,small_airport,-38.682382,146.445331
TKG,Radin Inten II (Branti) Airport,medium_airport,-5.240556,105.175556
PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,medium_airport,0.460786015,101.4449997
DUM,Pinang Kampai Airport,medium_airport,1.60919,101.433998
RKO,Rokot Airport,small_airport,-2.099119902,99.70069885
SEQ,Sungai Pakning Bengkalis Airport,small_airport,1.370000005,102.1399994
TJB,Sei Bati Airport,small_airport,1.0527,103.3931
BDO,Husein Sastranegara International Airport,medium_airport,-6.900629997,107.5759964
CBN,Penggung Airport,small_airport,-6.756140232,108.5400009
TSY,Cibeureum Airport,small_airport,-7.346600056,108.2460022
WID,RAF Wildenrath,closed,51.1141,6.2151
BTH,Hang Nadim International Airport,medium_airport,1.121029973,104.1190033
PPR,Pasir Pangaraan Airport,small_airport,0.84543103,100.3700027
TNJ,Raja Haji Fisabilillah International Airport,small_airport,0.922683001,104.5319977
SIQ,Dabo Airport,small_airport,-0.479189008,104.5790024
HLP,Halim Perdanakusuma International Airport,medium_airport,-6.266610146,106.8909988
CXP,Tunggul Wulung Airport,medium_airport,-7.645060062,109.0339966
PCB,Pondok Cabe Air Base,small_airport,-6.336959839,106.7649994
CGK,Soekarno-Hatta International Airport,large_airport,-6.12556982,106.6559982
GNS,Binaka Airport,medium_airport,1.16638,97.704697
AEG,Aek Godang Airport,medium_airport,1.4001,99.430496
MES,Soewondo Air Force Base,medium_airport,3.559167,98.671111
KNO,Kualanamu International Airport,large_airport,3.642222,98.885278
DTB,Silangit Airport,small_airport,2.25973,98.991898
SIW,Sibisa Airport,small_airport,2.666666985,98.93333435
FLZ,Dr Ferdinand Lumban Tobing Airport,small_airport,1.55594,98.888901
TJQ,Buluh Tumbang (H A S Hanandjoeddin) Airport,small_airport,-2.74571991,107.7549973
NPO,Nanga Pinoh Airport,medium_airport,-0.348868996,111.7480011
KTG,Ketapang(Rahadi Usman) Airport,medium_airport,-1.816640019,109.9629974
MWK,Tarempa Airport,small_airport,3.348119974,106.2580032
NTX,Ranai Airport,medium_airport,3.90871,108.388
PNK,Supadio Airport,medium_airport,-0.150711,109.4039993
PSU,Pangsuma Airport,medium_airport,0.835578024,112.9369965
SQG,Sintang(Susilo) Airport,medium_airport,0.063619003,111.4729996
DJB,Sultan Thaha Airport,small_airport,-1.638020039,103.6439972
PGK,Pangkal Pinang (Depati Amir) Airport,small_airport,-2.162199974,106.1389999
BKS,Fatmawati Soekarno Airport,medium_airport,-3.8637,102.338997
PLM,Sultan Mahmud Badaruddin II Airport,medium_airport,-2.898250103,104.6999969
PDO,Pendopo Airport,medium_airport,-3.286070108,103.8799973
RGT,Japura Airport,medium_airport,-0.352807999,102.3349991
PDG,Minangkabau International Airport,medium_airport,-0.786917,100.280998
MPC,Muko Muko Airport,small_airport,-2.541860104,101.0879974
KLQ,Keluang Airport,small_airport,-2.623529911,103.9550018
TPK,Teuku Cut Ali Airport,small_airport,3.1707,97.2869
SBG,Maimun Saleh Airport,small_airport,5.874129772,95.33969879
MEQ,Seunagan Airport,small_airport,4.25,96.21700287
LSX,Lhok Sukon Airport,medium_airport,5.069509983,97.25920105
LSW,Malikus Saleh Airport,small_airport,5.226679802,96.95030212
BTJ,Sultan Iskandar Muda International Airport,medium_airport,5.522872024,95.42063713
JBK,Berkley Municipal Heliport,closed,37.8666,-122.3065
SXT,Sungai Tiang Airport,small_airport,4.33027792,102.3949966
MEP,Mersing Airport,small_airport,2.382999897,103.8669968
SWY,Sitiawan Airport,small_airport,4.2222,100.6993
TPG,Taiping (Tekah) Airport,small_airport,4.867000103,100.7170029
TOD,Pulau Tioman Airport,medium_airport,2.818180084,104.1600037
AOR,Sultan Abdul Halim Airport,medium_airport,6.189670086,100.3980026
BWH,Butterworth Airport,medium_airport,5.465919971,100.3909988
KBR,Sultan Ismail Petra Airport,medium_airport,6.16685009,102.2929993
KUA,Kuantan Airport,medium_airport,3.77538991,103.2089996
